Disease	Disease_id	Gene	Gene_id	Score_gda	Association_Type	 Type	Original_DB	Sentence	PMID	PMID_Year
Heart failure	C0018801	SOD3	6649	0.31	GeneticVariation		BEFREE	"We tested the hypothesis that diabetic subjects heterozygous for extracellular superoxide dismutase (<span class=""gene"" id=""26844281-2-101-105"">SOD3</span>) <span class=""variant"" dbSNP=""NA"" genes_norm=""NA"">R213G</span>, which entails lower antioxidant capacity in tissues, have increased risk of cardiovascular disease and <span class=""disease"" id=""26844281-2-217-230"">heart failure</span>."	26844281.0	2016.0
Heart failure	C0018801	CYP11B2	1585	0.06	GeneticVariation		BEFREE	"<span class=""gene"" id=""18638595-0-0-20"">Aldosterone synthase</span> gene polymorphism as a determinant of atrial fibrillation in patients with <span class=""disease"" id=""18638595-0-96-109"">heart failure</span>."	18638595.0	2008.0
Heart failure	C0018801	ATP2B4	493	0.01	Biomarker		BEFREE	"Furthermore, <span class=""gene"" id=""19287093-6-13-18"">Pmca4</span> gene-targeted mice showed increased cardiac hypertrophy and <span class=""disease"" id=""19287093-6-79-92"">heart failure</span> events after TAC."	19287093.0	2009.0
Heart failure	C0018801	MOK	5891	0.02	GeneticVariation		BEFREE	"<span class=""gene"" id=""23527722-0-0-4"">RAGE</span> gene polymorphism in <span class=""disease"" id=""23527722-0-26-39"">heart failure</span> patients with and without angiographic evidence of significant coronary atherosclerosis."	23527722.0	2013.0
Heart failure	C0018801	UCP2	7351	0.2	Biomarker		RGD	"Downregulation of myocardial <span class=""gene"" id=""20809120-11-29-33"">UCP2</span> and UCP3 in the setting of doxorubicin-induced <span class=""disease"" id=""20809120-11-81-94"">heart failure</span> is associated with improved efficiency of ATP synthesis, which might compensate for abnormal energy metabolism."	20809120.0	2011.0
Heart failure	C0018801	ADRB3	155	0.51	Biomarker		CTD_human	"To evaluate the effects of <span class=""gene"" id=""15009959-1-27-49"">beta(3)-adrenoreceptor</span> (<span class=""gene"" id=""15009959-1-51-53"">AR</span>) agonist (BRL-37344) on the expression of <span class=""gene"" id=""15009959-1-96-106"">beta(3)-AR</span> in a isoproterenol (ISO)-induced <span class=""disease"" id=""15009959-1-140-153"">heart failure</span> (<span class=""disease"" id=""15009959-1-155-157"">HF</span>) rat model and to investigate the influence on the levels of <span class=""gene"" id=""15009959-1-219-229"">beta(3)-AR</span> in failing heart."	15009959.0	2004.0
Heart failure	C0018801	SOD2	6648	0.51	Biomarker		MGD			
Heart failure	C0018801	RYR1	6261	0.02	Biomarker		BEFREE	"Such changes can be caused by point mutations in many different regions of the <span class=""gene"" id=""21291389-4-79-82"">RyR</span> protein or acquired as a result of stress associated with exercise, <span class=""disease"" id=""21291389-4-151-164"">heart failure</span>, age or drugs."	21291389.0	2011.0
Heart failure	C0018801	TPCN1	53373	0.01	AlteredExpression		BEFREE	"Ca(2+)-handling genes <span class=""gene"" id=""22701570-11-22-27"">TPCN1</span> and TPCN2 also showed increased expression in <span class=""disease"" id=""22701570-11-74-76"">HF</span>, while HF- and CM-specific positive correlations were found among several FA and Ca(2+)-handling genes."	22701570.0	2012.0
Heart failure	C0018801	ACE	1636	0.6	Biomarker		BEFREE	"The efficacy of <span class=""gene"" id=""18382216-6-16-45"">angiotensin-converting enzyme</span> inhibitors and the combination of isosorbide dinitrate and hydralazine differs in black and white <span class=""disease"" id=""18382216-6-144-157"">heart failure</span> cohorts."	18382216.0	2008.0
Heart failure	C0018801	RYR2	6262	0.3	AlteredExpression		BEFREE	"MicroRNA-1 and -133 increase arrhythmogenesis in <span class=""disease"" id=""22163007-0-49-62"">heart failure</span> by dissociating phosphatase activity from <span class=""gene"" id=""22163007-0-105-109"">RyR2</span> complex."	22163007.0	2012.0
Heart failure	C0018801	LGALS3	3958	0.26	Biomarker		BEFREE	"<span class=""gene"" id=""25684565-0-0-10"">Galectin-3</span> and histological, molecular and biochemical aspects of myocardial fibrosis in <span class=""disease"" id=""25684565-0-89-102"">heart failure</span> of hypertensive origin."	25684565.0	2016.0
Heart failure	C0018801	KIF1B	23095	0.1	Biomarker		HPO			
Heart failure	C0018801	ACE	1636	0.6	GeneticVariation		BEFREE	"<span class=""gene"" id=""12356632-0-0-29"">Angiotensin-converting enzyme</span> genotype modulates pulmonary function and exercise capacity in treated patients with congestive stable <span class=""disease"" id=""12356632-0-133-146"">heart failure</span>."	12356632.0	2002.0
Heart failure	C0018801	ADRA2C	152	0.36	GeneticVariation		BEFREE	"The alpha(2C) <span class=""gene"" id=""19477404-9-14-24"">Del322-325</span> polymorphism exclusively or in combination with the beta(1)Arg389 allele is <span class=""negexp"">not associated</span> with an increased risk of adverse events in <span class=""disease"" id=""19477404-9-160-162"">HF</span>."	19477404.0	2009.0
Heart failure	C0018801	IL4	3565	0.03	GeneticVariation		BEFREE	"We investigated whether there was a correlation between SNP genotypes in the <span class=""gene"" id=""11897522-5-77-81"">IL-4</span> promoter and <span class=""disease"" id=""11897522-5-95-108"">heart failure</span>, and rejection after HTX."	11897522.0	2002.0
Heart failure	C0018801	CRK	1398	0.02	Biomarker		BEFREE	"β₂-Adrenoceptors, NADPH oxidase, ROS and <span class=""gene"" id=""21271996-0-41-44"">p38</span> MAPK: another 'radical' road to <span class=""disease"" id=""21271996-0-77-90"">heart failure</span>?"	21271996.0	2011.0
Heart failure	C0018801	ADRA2C	152	0.36	GeneticVariation		BEFREE	"ADRB1 and <span class=""gene"" id=""17496726-10-10-16"">ADRA2C</span> polymorphisms synergistically influence the ejection fraction response to beta-blocker therapy of <span class=""disease"" id=""17496726-10-115-128"">heart failure</span> patients."	17496726.0	2007.0
Heart failure	C0018801	AMPD1	270	0.09	GeneticVariation		BEFREE	"Several studies identified that polymorphism of AMP deaminase 1 gene (<span class=""gene"" id=""24431031-3-70-75"">AMPD1</span>), in particular the common <span class=""variant"" dbSNP=""rs567798234"" genes_norm=""271"">C34T</span> variant of this gene was found to benefit patients with <span class=""disease"" id=""24431031-3-164-177"">heart failure</span> and ischemic heart disease."	24431031.0	2014.0
Heart failure	C0018801	CALM3	808	0.09	Biomarker		BEFREE	"In particular, we focus on the molecular and functional aspects of Na channel phosphorylation by the Ca/<span class=""gene"" id=""23771687-6-104-114"">calmodulin</span>-dependent protein kinase II, which is hyperactive in <span class=""disease"" id=""23771687-6-168-181"">heart failure</span> and has been causally linked to cardiac arrhythmia."	23771687.0	2013.0
Heart failure	C0018801	S100A1	6271	0.1	Biomarker		BEFREE	"Targeting <span class=""gene"" id=""22336719-0-10-16"">S100A1</span> in <span class=""disease"" id=""22336719-0-20-33"">heart failure</span>."	22336719.0	2012.0
Heart failure	C0018801	ADRA2C	152	0.36	GeneticVariation		BEFREE	"Multiple polymorphisms act synergistically between the <span class=""gene"" id=""18947427-11-55-61"">ADRA2C</span> and ADRB1 genes to increase risk of death or cardiac transplant in <span class=""disease"" id=""18947427-11-129-142"">heart failure</span> patients."	18947427.0	2008.0
Heart failure	C0018801	RTEL1	51750	0.01	GeneticVariation		BEFREE	"We genotyped participants of the German non-Hodgkin lymphoma study (<span class=""gene"" id=""16330681-3-68-71"">NHL</span>-B) who were followed up for the development of <span class=""disease"" id=""16330681-3-119-132"">heart failure</span> for a median of &gt;3 years."	16330681.0	2006.0
Heart failure	C0018801	UCN2	90226	0.31	Therapeutic		CTD_human	"Integrated hemodynamic, hormonal, and renal actions of <span class=""gene"" id=""16330704-0-55-66"">urocortin 2</span> in normal and paced sheep: beneficial effects in <span class=""disease"" id=""16330704-0-116-129"">heart failure</span>."	16330704.0	2006.0
Heart failure	C0018801	CYTB	4519	0.1	Biomarker		HPO			
Heart failure	C0018801	GLP1R	2740	0.01	Biomarker		BEFREE	"Exendin-4 inhibits structural remodeling and improves Ca&lt;sup&gt;2+&lt;/sup&gt; homeostasis in rats with <span class=""disease"" id=""28242257-0-95-108"">heart failure</span> via the <span class=""gene"" id=""28242257-0-117-131"">GLP-1 receptor</span> through the eNOS/cGMP/PKG pathway."	28242257.0	2017.0
Heart failure	C0018801	PITX2	5308	0.03	AlteredExpression		BEFREE	"Expression of ten <span class=""gene"" id=""12176127-0-18-21"">RGS</span> proteins in human myocardium: functional characterization of an upregulation of RGS4 in <span class=""disease"" id=""12176127-0-110-123"">heart failure</span>."	12176127.0	2002.0
Heart failure	C0018801	LMNA	4000	0.18	GeneticVariation		BEFREE	"In vivo and in vitro examination of the functional significances of novel <span class=""gene"" id=""16061563-0-74-79"">lamin</span> gene mutations in <span class=""disease"" id=""16061563-0-98-111"">heart failure</span> patients."	16061563.0	2006.0
Heart failure	C0018801	NPPB	4879	0.6	Biomarker		BEFREE	"<span class=""gene"" id=""11715177-2-0-3"">BNP</span>, which is synthesized in the cardiac ventricles and correlates with LV pressure, amount of dyspnea, and the state of neurohormonal modulation, makes this peptide the first potential ""white count"" for <span class=""disease"" id=""11715177-2-204-217"">heart failure</span>."	11715177.0	2002.0
Heart failure	C0018801	FKRP	79147	0.01	GeneticVariation		BEFREE	"LGMD2I due to <span class=""gene"" id=""12707425-11-14-18"">FKRP</span> mutations appears to be a relatively common cause of LGMD, with respiratory and <span class=""disease"" id=""12707425-11-99-114"">cardiac failure</span> as prominent complications."	12707425.0	2004.0
Heart failure	C0018801	MIR423	494335	0.03	Biomarker		BEFREE	"We first measured the levels of <span class=""gene"" id=""26562412-6-32-39"">miR-423</span>-5p, which was recognized previously as a biomarker for <span class=""disease"" id=""26562412-6-95-108"">heart failure</span>. <span class=""gene"" id=""26562412-6-110-117"">miR-423</span>-5p levels were significantly higher in PF than serum."	26562412.0	2016.0
Heart failure	C0018801	PLN	5350	0.3	GeneticVariation		BEFREE	"A mutation in the coding region of the <span class=""gene"" id=""25923014-2-39-52"">phospholamban</span> (<span class=""gene"" id=""25923014-2-54-57"">PLN</span>) gene (<span class=""variant"" dbSNP=""NA"" genes_norm=""NA"">R14del</span>) is identified in families with hereditary <span class=""disease"" id=""25923014-2-115-128"">heart failure</span>."	25923014.0	2016.0
Heart failure	C0018801	VEGFA	7422	0.39	GeneticVariation		BEFREE	"Association of <span class=""gene"" id=""19332989-0-15-19"">VEGF</span> gene polymorphisms with the development of <span class=""disease"" id=""19332989-0-63-76"">heart failure</span> in patients after myocardial infarction."	19332989.0	2009.0
Heart failure	C0018801	DMD	1756	0.2	Biomarker		BEFREE	"The aim of this article was to assess our recent paradigm that disruption of myocardial <span class=""gene"" id=""15963350-3-88-90"">Dy</span>s is a final common pathway to advanced <span class=""disease"" id=""15963350-3-130-132"">HF</span>, irrespective of its hereditary or acquired origin, but <span class=""negexp"">not intended to provide a comprehensive overview of the various factors that may be involved</span> in the course of <span class=""disease"" id=""15963350-3-299-301"">HF</span> in different clinical settings."	15963350.0	2005.0
Heart failure	C0018801	TNFRSF11B	4982	0.2	Biomarker		RGD	"Our main and novel findings were as follows: (1) In a rat model of postinfarction <span class=""disease"" id=""15883214-4-82-84"">HF</span>, we found persistently increased gene expression of <span class=""gene"" id=""15883214-4-137-140"">OPG</span>, RANK, and RANKL in the ischemic part of the left ventricle (LV) and, for <span class=""gene"" id=""15883214-4-215-218"">OPG</span>, in the nonischemic part that involved both noncardiomyocyte and in particular cardiomyocyte tissue."	15883214.0	2005.0
Heart failure	C0018801	AGT	183	0.6	Biomarker		CTD_human	Differential effects of captopril and enalapril on tissue renin-angiotensin systems in experimental heart failure.	1330361.0	1992.0
Heart failure	C0018801	ARRB2	409	0.01	AlteredExpression		BEFREE	"Its absolute values were approximately 350 fmol/mg cytosolic protein, and its expression was <span class=""negexp"">not changed in</span> <span class=""disease"" id=""8293560-7-108-121"">heart failure</span>. <span class=""gene"" id=""8293560-7-123-138"">beta-Arrestin-2</span> levels were too low to be detectable using the same methods. beta ARK levels as determined by enzymatic activity were approximately 20 fmol/mg cytosolic protein (beta ARK-1 plus beta ARK-2) and thus almost 20-fold lower than those of beta-arrestin. beta ARK levels were increased approximately twofold in <span class=""disease"" id=""8293560-7-444-457"">heart failure</span>.(ABSTRACT TRUNCATED AT 250 WORDS)"	8293560.0	1994.0
Heart failure	C0018801	ADRB2	154	0.3	GeneticVariation		BEFREE	"After controlling for demographics, functional status, and treatment adherence, polymorphisms in ADRB1, <span class=""gene"" id=""22543981-13-104-109"">ADRB2</span> and eNOS are associated with healthcare outcomes in <span class=""disease"" id=""22543981-13-162-175"">heart failure</span> patients."	22543981.0	2013.0
Heart failure	C0018801	DMD	1756	0.2	GeneticVariation		BEFREE	"Coupled with previous data showing that <span class=""gene"" id=""9563954-4-40-50"">dystrophin</span> mutations also cause dilated cardiomyopathy, these results raise the possibility that defective transmission of force in cardiac myocytes is a mechanism underlying <span class=""disease"" id=""9563954-4-215-228"">heart failure</span>."	9563954.0	1998.0
Heart failure	C0018801	POMC	5443	0.31	Biomarker		BEFREE	"The patient subsequently developed an <span class=""gene"" id=""15239795-4-38-42"">ACTH</span>-dependent paraneoplastic Cushing's syndrome and she died of arrhythmia and <span class=""disease"" id=""15239795-4-118-131"">heart failure</span>, despite treatment."	15239795.0	2005.0
Heart failure	C0018801	COL1A1	1277	0.1	Biomarker		HPO			
Heart failure	C0018801	SLC7A1	6541	0.01	AlteredExpression		BEFREE	"Impaired expression of these <span class=""gene"" id=""22333581-3-29-32"">ERR</span> target genes is frequently observed in human <span class=""disease"" id=""22333581-3-78-91"">heart failure</span> patients."	22333581.0	2013.0
Heart failure	C0018801	GIGYF1	64599	0.01	AlteredExpression		BEFREE	"Mitochondrial CDS activity and CDS-1 mRNA increased in <span class=""disease"" id=""19001357-5-55-57"">HF</span> whereas <span class=""gene"" id=""19001357-5-66-71"">CDS-2</span> mRNA in SHHF and humans, not in SD rats, decreased."	19001357.0	2009.0
Heart failure	C0018801	ADRB1	153	0.6	GeneticVariation		BEFREE	"Impact of the <span class=""gene"" id=""22617224-0-14-29"">β1-adrenoceptor</span> <span class=""variant"" dbSNP=""rs1801253"" genes_norm=""153"">Arg389Gly</span> polymorphism on heart-rate responses to bisoprolol and carvedilol in <span class=""disease"" id=""22617224-0-109-122"">heart-failure</span> patients."	22617224.0	2012.0
Heart failure	C0018801	MIR423	494335	0.03	Biomarker		BEFREE	"<span class=""gene"" id=""20185794-0-0-6"">MiR423</span>-5p as a circulating biomarker for <span class=""disease"" id=""20185794-0-41-54"">heart failure</span>."	20185794.0	2010.0
Heart failure	C0018801	MYBPC3	4607	0.04	GeneticVariation		BEFREE	"Therefore, 25 bp deletion in <span class=""gene"" id=""21915287-11-29-35"">MYBPC3</span> may represent a genetic marker for <span class=""disease"" id=""21915287-11-71-86"">cardiac failure</span> in CAD patients from Southeast Asia."	21915287.0	2012.0
Heart failure	C0018801	LGALS3	3958	0.26	Biomarker		RGD	"Myocardial biopsies obtained at an early stage of hypertrophy before apparent <span class=""disease"" id=""15520318-4-78-80"">HF</span> showed that expression of <span class=""gene"" id=""15520318-4-107-117"">galectin-3</span> was increased specifically in the rats that later rapidly developed <span class=""disease"" id=""15520318-4-186-188"">HF</span>."	15520318.0	2005.0
Heart failure	C0018801	MYH7	4625	0.33	Biomarker		HPO			
Heart failure	C0018801	RAC1	5879	0.5	Biomarker		RGD	Alterations in G protein and MAP kinase signaling pathways during cardiac remodeling in hypertension and heart failure.	12642504.0	2003.0
Heart failure	C0018801	ADRB1	153	0.6	GeneticVariation		BEFREE	"<span class=""gene"" id=""14502278-0-0-26"">Beta 1-adrenergic receptor</span> polymorphisms confer differential function and predisposition to <span class=""disease"" id=""14502278-0-92-105"">heart failure</span>."	14502278.0	2004.0
Heart failure	C0018801	PLN	5350	0.3	Therapeutic		RGD	Reversal of subcellular remodelling by losartan in heart failure due to myocardial infarction.	22947202.0	2014.0
Heart failure	C0018801	CTGF	1490	0.37	AlteredExpression		BEFREE	"MicroRNA-18 and microRNA-19 regulate <span class=""gene"" id=""21501375-0-37-41"">CTGF</span> and TSP-1 expression in age-related <span class=""disease"" id=""21501375-0-78-91"">heart failure</span>."	21501375.0	2012.0
Heart failure	C0018801	SLC6A4	6532	0.01	GeneticVariation		BEFREE	"These results suggest that the LL variant of the <span class=""gene"" id=""17307423-12-49-54"">5-HTT</span> is associated with elevated PAP in patients with <span class=""disease"" id=""17307423-12-104-106"">HF</span>."	17307423.0	2007.0
Heart failure	C0018801	UCP3	7352	0.21	Biomarker		BEFREE	"Although LVAD treatment improved clinical markers of <span class=""disease"" id=""12145475-6-53-66"">heart failure</span> (decrease of left ventricular diastolic dimension and normalization of serum sodium), only <span class=""gene"" id=""12145475-6-158-162"">UCP3</span> expression reversed to non-failing transcript levels following mechanical unloading."	12145475.0	2002.0
Heart failure	C0018801	ADRB1	153	0.6	GeneticVariation		BEFREE	"A polymorphism within a conserved <span class=""gene"" id=""16844790-0-34-61"">beta(1)-adrenergic receptor</span> motif alters cardiac function and beta-blocker response in human <span class=""disease"" id=""16844790-0-127-140"">heart failure</span>."	16844790.0	2006.0
Heart failure	C0018801	TNF	7124	0.6	Biomarker		CTD_human	"<span class=""disease"" id=""15135663-15-0-13"">Heart failure</span> may in fact be accentuated by a downregulation of myocardial <span class=""gene"" id=""15135663-15-75-84"">TNF-alpha</span>."	15135663.0	2004.0
Heart failure	C0018801	EDN1	1906	0.6	Biomarker		BEFREE	"There is evidence that <span class=""gene"" id=""9607370-3-23-35"">endothelin-1</span> may contribute to the pathophysiology of conditions associated with sustained vasoconstriction, such as hypertension and <span class=""disease"" id=""9607370-3-157-170"">heart failure</span>, vasospastic conditions, such as subarachnoid hemorrhage, and atherogenesis."	9607370.0	1998.0
Heart failure	C0018801	PLN	5350	0.3	Biomarker		BEFREE	"In contrast to reported benefits of <span class=""gene"" id=""12639993-9-36-39"">PLN</span> ablation in mouse <span class=""disease"" id=""12639993-9-58-71"">heart failure</span>, humans lacking PLN develop lethal dilated cardiomyopathy."	12639993.0	2003.0
Heart failure	C0018801	NOS3	4846	0.4	Biomarker		CTD_human	MnSOD protects against COX1-mediated endothelial dysfunction in chronic heart failure.	20304815.0	2010.0
Heart failure	C0018801	COPD	260431	0.01	Biomarker		BEFREE	"Four microRNAs distinguished between <span class=""disease"" id=""23696613-12-37-39"">HF</span> and exacerbation of <span class=""gene"" id=""23696613-12-60-64"">COPD</span>, other causes of dyspnoea, and controls."	23696613.0	2014.0
Heart failure	C0018801	UCN2	90226	0.31	Biomarker		BEFREE	"<span class=""gene"" id=""25760560-1-0-11"">Urocortin-2</span> (<span class=""gene"" id=""25760560-1-13-17"">UCn2</span>) peptide infusion increases cardiac function in patients with <span class=""disease"" id=""25760560-1-80-93"">heart failure</span>, but chronic peptide infusion is cumbersome, is costly, and provides only short-term benefits."	25760560.0	2016.0
Heart failure	C0018801	PLN	5350	0.3	GeneticVariation		BEFREE	"Mutations in the human <span class=""gene"" id=""22137083-0-23-36"">phospholamban</span> gene in patients with <span class=""disease"" id=""22137083-0-59-72"">heart failure</span>."	22137083.0	2012.0
Heart failure	C0018801	HMOX1	3162	0.54	Biomarker		CTD_human	Vascular and thrombogenic effects of pulmonary exposure to Libby amphibole.	22352330.0	2012.0
Heart failure	C0018801	IL1B	3553	0.34	Biomarker		BEFREE	"Recombinant human IL-18-binding protein (IL-18BP) or an IL-18-blocking antibody (IL-18AB) was used to neutralize endogenous IL-18 after challenge with the plasma of patients with <span class=""disease"" id=""24531812-3-179-181"">HF</span> or with recombinant murine <span class=""gene"" id=""24531812-3-209-214"">IL-1β</span> in adult male mice."	24531812.0	2014.0
Heart failure	C0018801	PRSS55	203074	0.01	AlteredExpression		BEFREE	"MicroRNA-18 and microRNA-19 regulate CTGF and <span class=""gene"" id=""21501375-0-46-51"">TSP-1</span> expression in age-related <span class=""disease"" id=""21501375-0-78-91"">heart failure</span>."	21501375.0	2012.0
Heart failure	C0018801	ACE	1636	0.6	GeneticVariation		BEFREE	"An association between the DD allele of the <span class=""gene"" id=""10097225-1-44-73"">angiotensin-converting enzyme</span> gene and a poorer outcome in patients with <span class=""disease"" id=""10097225-1-117-130"">heart failure</span> has been found in whites."	10097225.0	1999.0
Heart failure	C0018801	TTN	7273	0.09	Biomarker		BEFREE	"The recent discovery of heterozygous human mutations that truncate full-length titin (<span class=""gene"" id=""25589632-1-86-89"">TTN</span>, an abundant structural, sensory, and signaling filament in muscle) as a common cause of end-stage dilated cardiomyopathy (DCM) promises new prospects for improving <span class=""disease"" id=""25589632-1-255-268"">heart failure</span> management."	25589632.0	2015.0
Heart failure	C0018801	GJA1	2697	0.16	AlteredExpression		BEFREE	"Although much is known about expression patterns and remodeling of cardiac connexin(<span class=""gene"" id=""22127232-2-84-89"">Cx)43</span>, little is known about the less abundant Cx45, which is required for embryonic development and viability, is downregulated in adult hearts, and is pathophysiologically upregulated in human end-stage <span class=""disease"" id=""22127232-2-289-302"">heart failure</span>."	22127232.0	2012.0
Heart failure	C0018801	REN	5972	0.4	AlteredExpression		BEFREE	"Refractory hyperaldosteronism in <span class=""disease"" id=""25036270-0-33-46"">heart failure</span> is associated with plasma <span class=""gene"" id=""25036270-0-73-78"">renin</span> activity and angiotensinogen polymorphism."	25036270.0	2016.0
Heart failure	C0018801	GABPA	2551	0.01	Biomarker		BEFREE	"The role of <span class=""gene"" id=""25101151-0-12-16"">Nrf2</span>-mediated pathway in cardiac remodeling and <span class=""disease"" id=""25101151-0-60-73"">heart failure</span>."	25101151.0	2015.0
Heart failure	C0018801	ALOX12	239	0.2	Biomarker		RGD	Genetic expression profiles during physiological and pathological cardiac hypertrophy and heart failure in rats.	15623566.0	2005.0
Heart failure	C0018801	CTSB	1508	0.01	AlteredExpression		BEFREE	"Increased myocardial expression of <span class=""gene"" id=""16480925-10-35-46"">cathepsin B</span> was found in patients with <span class=""disease"" id=""16480925-10-74-87"">heart failure</span> suggesting that <span class=""gene"" id=""16480925-10-104-115"">cathepsin B</span> might play a role in the genesis and development of <span class=""disease"" id=""16480925-10-168-181"">heart failure</span>."	16480925.0	2006.0
Heart failure	C0018801	ELAC2	60528	0.1	Biomarker		HPO			
Heart failure	C0018801	DSP	1832	0.14	Biomarker		BEFREE	"Loss of <span class=""gene"" id=""16467215-0-8-19"">desmoplakin</span> isoform I causes early onset cardiomyopathy and <span class=""disease"" id=""16467215-0-68-81"">heart failure</span> in a Naxos-like syndrome."	16467215.0	2006.0
Heart failure	C0018801	MPO	4353	0.02	Biomarker		BEFREE	"Elevation of circulating <span class=""gene"" id=""17854714-5-25-28"">MPO</span> was irrespective of the etiology of <span class=""disease"" id=""17854714-5-65-78"">heart failure</span> and independent of traditional confounding variables."	17854714.0	2007.0
Heart failure	C0018801	PLN	5350	0.3	AlteredExpression		BEFREE	"These data also show that the altered SR function in human <span class=""disease"" id=""8689655-12-59-72"">heart failure</span> <span class=""negexp"">cannot be</span> explained by altered protein levels of <span class=""gene"" id=""8689655-12-122-125"">PLB</span> and SERCA2."	8689655.0	1996.0
Heart failure	C0018801	AGTR2	186	0.22	AlteredExpression		LHGDN	explore the relation among myocardial AT (1) -/AT (2) - receptor expression, myocardial remodeling and cardiac function in patients with congestive heart failure	12133421.0	2002.0
Heart failure	C0018801	AGT	183	0.6	AlteredExpression		BEFREE	"Evidence that the angiotensin-converting enzyme inhibitors have important effects on cell growth, as well as on vascular tone, suggests that their ability to prolong survival in patients with <span class=""disease"" id=""1414889-8-192-205"">heart failure</span> may be due largely to the inhibition of detrimental effects of <span class=""gene"" id=""1414889-8-269-283"">angiotensin II</span> on cardiac gene expression."	1414889.0	1992.0
Heart failure	C0018801	NPPB	4879	0.6	Therapeutic		CTD_human	[B-type natriuretic peptide (BNP) levels and the effects of carvedilol on BNP levels in juvenile rats with right heart failure].	19650993.0	2009.0
Heart failure	C0018801	REN	5972	0.4	Biomarker		BEFREE	"Furthermore, we describe the implication of the <span class=""gene"" id=""21503626-6-48-53"">renin</span> angiotensin aldosteron system in immunity and <span class=""disease"" id=""21503626-6-100-113"">heart failure</span>."	21503626.0	2012.0
Heart failure	C0018801	CYP11B2	1585	0.06	GeneticVariation		BEFREE	"<span class=""gene"" id=""16979018-0-0-20"">Aldosterone synthase</span> promoter polymorphism predicts outcome in African Americans with <span class=""disease"" id=""16979018-0-86-99"">heart failure</span>: results from the A-HeFT Trial."	16979018.0	2006.0
Heart failure	C0018801	PPARG	5468	0.34	Biomarker		BEFREE	"<span class=""disease"" id=""19300450-8-0-13"">Heart failure</span>-related genes, such as brain natriuretic peptide, connective tissue growth factor and osteopontin; calcium signaling-related genes, such as ryanodine receptor 2, sarcoendoplasmic reticulum Ca(2+)-ATPase 2A2 and adenylate cyclase 7; renin-angiotensin system-related genes, such as angiotensinogen, angiotensin II receptor, type 1 and type 2; and mitochondria-related genes, such as <span class=""gene"" id=""19300450-8-395-443"">peroxisome proliferator-activated receptor-gamma</span> co-activator-1alpha, cytochrome c and transcription factor A mitochondrial, were significantly changed at the apical ventricle rather than at the basal ventricle."	19300450.0	2009.0
Heart failure	C0018801	REN	5972	0.4	Biomarker		BEFREE	"The <span class=""gene"" id=""28120210-1-4-9"">renin</span>-angiotensin (RAS) pathway has an important role in the etiology of <span class=""disease"" id=""28120210-1-77-90"">heart failure</span> and given the importance of RAS as a therapeutic target in various cardiomyopathies, genetic polymorphisms in the RAS genes may modulate the risk and severity of disease in cardiomyopathy patients."	28120210.0	2017.0
Heart failure	C0018801	SIRT3	23410	0.2	Biomarker		RGD	"This is the first description of non-histone protein acetylations associated with <span class=""disease"" id=""22155497-10-82-95"">heart failure</span> and raises the prospect that acetylations of mitochondrial proteins linked to reduced <span class=""gene"" id=""22155497-10-182-187"">Sirt3</span> mediate, in part, metabolic changes in <span class=""disease"" id=""22155497-10-227-240"">heart failure</span>."	22155497.0	2012.0
Heart failure	C0018801	ATXN1	6310	0.01	Biomarker		BEFREE	"Comparative gene expression profiling of freshly isolated undifferentiated <span class=""gene"" id=""25799225-4-75-80"">Sca-1</span> progenitor cells derived either from <span class=""disease"" id=""25799225-4-118-131"">heart failure</span> transgenic αMHC-CyclinT1/Gαq overexpressing mice or wildtype littermates revealed transcriptional variations."	25799225.0	2015.0
Heart failure	C0018801	TRNT	4576	0.01	GeneticVariation		BEFREE	"The pooled data showed that there was <span class=""negexp"">no significant associations</span> between the AGT <span class=""variant"" dbSNP=""NA"" genes_norm=""NA"">M235T</span> polymorphism and <span class=""disease"" id=""24572548-6-105-107"">HF</span> risk for TT vs. MM (OR = 1.17, 95%CI = 0.62-2.19, P = 0.635), MT vs. MM (OR = 0.97, 95%CI = 0.77-1.22, P = 0.776), <span class=""gene"" id=""24572548-6-223-228"">MT/TT</span> vs. MM (OR = 1.07, 95%CI = 0.67-1.69, P = 0.781), and TT vs. MM/MT (OR = 1.23, 95%CI = 0.86-1.76, P = 0.259)."	24572548.0	2015.0
Heart failure	C0018801	CYBB	1536	0.31	Biomarker		CTD_human	MnSOD protects against COX1-mediated endothelial dysfunction in chronic heart failure.	20304815.0	2010.0
Heart failure	C0018801	STIM1	6786	0.01	Biomarker		BEFREE	"<span class=""gene"" id=""26241845-5-0-5"">STIM1</span> transgenic mice exhibited sudden cardiac death as early as 6weeks of age, while mice surviving past 12weeks of age developed <span class=""disease"" id=""26241845-5-131-144"">heart failure</span> with hypertrophy, induction of the fetal gene program, histopathology and mitochondrial structural alterations, loss of ventricular functional performance and pulmonary edema."	26241845.0	2016.0
Heart failure	C0018801	TNFRSF1A	7132	0.32	Biomarker		BEFREE	"The purpose of this study was to examine the respective roles of the mitochondrial and <span class=""gene"" id=""26004742-2-87-119"">tumor necrosis factor-α receptor</span> associated death domain (TRADD)-mediated death receptor pathways for apoptosis in the atrial cardiomyocytes of <span class=""disease"" id=""26004742-2-231-244"">heart failure</span> patients due to severe mitral and moderate-to-severe tricuspid regurgitation."	26004742.0	2015.0
